,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
7308,34393821.0,unknown,0.0,0.0,False,1,True,False,CoyoacÃ¡n,19.35653,-99.13197,Hotel room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,True,350.0,2,2,90,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,1,0.0
7310,34676973.0,unknown,0.0,0.89,False,3,True,True,Benito JuÃ¡rez,19.38659,-99.17647,Hotel room,2,1.5,1.0,1.0,True,False,False,False,False,False,False,False,945.0,1,7,173,3,0,5.0,4.67,4.67,5.0,5.0,5.0,4.67,t,3,0.09
7313,34411295.0,within a few hours,1.0,1.0,False,7,True,True,CuauhtÃ©moc,19.43155,-99.16943,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,True,True,3395.0,1,1125,277,40,0,4.9,4.93,5.0,4.93,4.95,5.0,4.88,t,6,0.99
7332,34711133.0,within an hour,1.0,1.0,True,10,True,True,CoyoacÃ¡n,19.35265,-99.16295,Hotel room,5,1.0,1.0,3.0,True,False,False,True,False,False,False,True,2200.0,1,1125,276,4,1,4.75,5.0,4.5,4.5,5.0,5.0,4.75,t,10,0.1
7333,34712487.0,within an hour,1.0,1.0,True,10,True,True,CoyoacÃ¡n,19.35246,-99.16497,Hotel room,2,1.0,1.0,1.0,True,False,False,True,False,False,False,False,2100.0,1,1125,298,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,10,0.0
7337,34712689.0,within an hour,1.0,1.0,True,10,True,True,CoyoacÃ¡n,19.35209,-99.16489,Hotel room,2,1.0,1.0,1.0,True,False,False,True,False,False,False,False,2100.0,1,1125,298,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,10,0.0
7339,34712776.0,within an hour,1.0,1.0,True,10,True,True,CoyoacÃ¡n,19.35101,-99.1656,Hotel room,2,1.0,1.0,1.0,True,False,False,True,False,False,False,False,2100.0,1,1125,274,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,10,0.0
7340,34712947.0,within an hour,1.0,1.0,True,10,True,True,CoyoacÃ¡n,19.35354,-99.16562,Hotel room,2,1.0,1.0,1.0,True,False,False,True,False,False,False,False,2100.0,1,1125,314,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,10,0.0
7341,34464509.0,within an hour,1.0,1.0,False,1,True,True,CuauhtÃ©moc,19.43047,-99.13786,Hotel room,2,1.0,1.0,1.0,True,False,True,False,False,False,True,False,1800.0,1,1125,361,17,11,4.71,4.65,4.82,4.82,4.71,5.0,4.65,t,1,0.42
7342,34713251.0,within an hour,1.0,1.0,True,10,True,True,CoyoacÃ¡n,19.35372,-99.16636,Hotel room,5,1.0,1.0,2.0,True,False,False,True,False,False,False,False,2200.0,1,1125,291,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,10,0.0
7353,34740045.0,unknown,0.0,0.5,False,5,True,True,Benito JuÃ¡rez,19.36996,-99.18777,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,990.0,1,600,83,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,f,5,0.0
7369,34750972.0,unknown,0.0,0.89,False,3,True,True,Benito JuÃ¡rez,19.38649,-99.1749,Hotel room,1,1.5,1.0,1.0,True,False,False,False,False,False,False,False,881.0,1,7,180,3,1,4.33,4.33,4.67,4.67,4.33,4.33,4.0,t,3,0.08
7372,34527775.0,within a few hours,1.0,0.79,True,16,True,True,CuauhtÃ©moc,19.41081,-99.1781,Hotel room,3,1.0,1.0,1.0,True,False,False,False,False,False,False,False,1976.0,1,365,308,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,12,0.0
