,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
19683,6.41e+17,within an hour,1.0,1.0,True,2,True,True,Ãlvaro ObregÃ³n,19.33925,-99.22019,Private room,2,1.0,1.0,2.0,True,False,False,False,True,False,False,True,564.0,1,1125,264,5,5,4.4,4.2,5.0,5.0,5.0,5.0,5.0,True,2,1.38
19687,6.42e+17,within an hour,1.0,0.99,True,8,True,True,CuauhtÃ©moc,19.4050401,-99.1746515,Private room,2,2.5,1.0,1.0,False,False,False,False,False,False,False,False,387.0,1,60,172,8,8,4.75,4.63,4.75,4.75,4.5,4.75,4.88,True,7,2.29
19688,6.42e+17,within an hour,1.0,0.97,False,5,True,True,Benito JuÃ¡rez,19.39885,-99.15823,Private room,2,1.0,1.0,1.0,True,False,True,False,True,False,False,True,293.0,1,365,86,2,2,4.5,5.0,4.0,5.0,5.0,4.5,4.5,False,5,0.71
19691,6.42e+17,within an hour,1.0,0.97,False,5,True,True,Benito JuÃ¡rez,19.40038781,-99.15998598,Private room,3,1.0,1.0,1.0,True,False,True,False,True,False,False,False,700.0,2,365,85,6,6,4.0,4.0,4.17,4.5,4.33,4.33,3.83,False,5,2.17
19693,6.43e+17,within a day,0.5,1.0,False,1,True,False,Azcapotzalco,19.4615357,-99.1789933,Private room,4,1.0,3.0,3.0,True,False,False,False,False,False,False,False,1200.0,1,365,365,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.29
19696,6.43e+17,unknown,0.0,0.0,False,1,True,False,Miguel Hidalgo,19.40401,-99.17529,Private room,2,1.0,1.0,1.0,True,True,True,False,True,False,False,False,1000.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
19698,6.41e+17,unknown,0.0,0.0,False,1,True,False,Gustavo A. Madero,19.48404,-99.0977,Private room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,True,350.0,1,1,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
19699,6.41e+17,within a few hours,1.0,0.91,False,4,True,True,Gustavo A. Madero,19.4919,-99.14306,Private room,3,1.0,1.0,1.0,True,False,False,False,False,False,False,False,320.0,5,90,78,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,3,0.0
19702,6.41e+17,within a day,1.0,0.0,False,1,True,True,CuauhtÃ©moc,19.42207,-99.16696,Private room,1,3.0,3.0,1.0,True,False,False,False,True,False,False,False,650.0,2,60,128,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
19703,6.43e+17,within an hour,1.0,1.0,False,4,True,True,Iztapalapa,19.36731,-99.11248,Private room,2,1.0,1.0,1.0,False,False,True,False,True,False,True,True,345.0,3,30,102,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,4,0.39
19706,6.43e+17,within an hour,1.0,1.0,False,1,False,True,CoyoacÃ¡n,19.33512,-99.17053,Private room,1,2.0,3.0,2.0,True,False,True,False,False,False,False,True,290.0,2,365,364,3,3,3.67,5.0,3.67,5.0,5.0,4.67,3.67,True,1,0.89
19707,6.42e+17,within an hour,1.0,1.0,False,1,True,True,CuauhtÃ©moc,19.4284,-99.17209,Private room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,420.0,1,5,17,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.59
19708,6.43e+17,within a few hours,1.0,0.92,False,2,True,True,CuauhtÃ©moc,19.41604,-99.17021,Private room,1,1.0,1.0,1.0,True,False,False,False,True,False,False,False,415.0,1,90,60,13,13,4.62,4.92,4.46,5.0,4.92,5.0,4.69,False,2,3.64
19709,6.42e+17,within an hour,1.0,0.99,True,8,True,True,CuauhtÃ©moc,19.4050401,-99.1746515,Private room,2,2.5,1.0,1.0,False,False,False,False,False,False,False,False,387.0,1,60,165,9,9,5.0,5.0,5.0,5.0,4.89,5.0,4.89,True,7,2.57
19711,6.42e+17,within an hour,1.0,0.99,True,8,True,True,CuauhtÃ©moc,19.4066925,-99.1706031,Private room,2,2.5,1.0,1.0,False,False,False,False,False,False,False,False,322.0,1,60,162,16,16,4.75,4.88,4.88,4.88,4.75,4.94,4.63,True,7,4.36
19713,6.43e+17,within an hour,1.0,0.97,False,2,True,True,CuauhtÃ©moc,19.41384,-99.17161,Private room,2,1.0,1.0,1.0,True,True,False,False,True,False,False,False,943.0,1,30,110,19,19,4.74,4.68,4.95,4.84,4.95,5.0,4.74,True,2,5.48
19714,6.43e+17,within an hour,1.0,1.0,True,2,True,True,CuauhtÃ©moc,19.40809241,-99.16156333,Private room,2,1.5,2.0,2.0,True,True,False,False,True,False,False,False,500.0,15,90,296,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,2,0.0
19715,6.44e+17,within an hour,1.0,1.0,False,6,True,True,CuauhtÃ©moc,19.4333469,-99.1658866,Private room,2,3.0,1.0,1.0,True,False,False,False,True,False,False,False,398.0,1,365,0,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,5,0.86
19716,6.43e+17,within an hour,1.0,0.43,True,1,True,True,Miguel Hidalgo,19.44134,-99.17651,Private room,1,1.0,1.0,1.0,False,False,False,False,False,False,False,False,490.0,4,95,45,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
19717,6.44e+17,within an hour,1.0,0.99,True,45,True,True,Miguel Hidalgo,19.4311201,-99.1774945,Private room,4,1.0,1.0,1.0,True,True,False,False,True,False,False,False,1875.0,1,90,354,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,30,0.37
19718,6.43e+17,within an hour,1.0,1.0,False,1,True,True,Benito JuÃ¡rez,19.36538,-99.14347,Private room,2,1.0,1.0,1.0,True,False,True,False,True,False,False,True,290.0,1,30,74,6,6,5.0,5.0,5.0,5.0,5.0,5.0,4.83,True,1,1.73
19723,6.44e+17,unknown,0.0,0.0,False,1,True,True,CuauhtÃ©moc,19.41758,-99.17734,Private room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,True,600.0,60,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
19729,6.43e+17,within an hour,1.0,1.0,False,3,True,True,Tlalpan,19.29856,-99.1397,Private room,2,1.0,1.0,1.0,False,False,True,True,True,False,False,True,320.0,3,1125,341,4,4,4.5,4.0,4.75,4.75,4.75,5.0,4.5,False,1,1.3
19731,6.43e+17,within an hour,1.0,1.0,False,1,True,True,Benito JuÃ¡rez,19.40176934,-99.15041443,Private room,1,1.0,1.0,1.0,True,False,False,True,True,False,False,False,600.0,2,1125,364,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.51
19732,6.43e+17,within an hour,1.0,1.0,False,2,True,True,CuauhtÃ©moc,19.41159,-99.16557,Private room,1,1.0,1.0,1.0,True,False,True,False,True,False,False,True,647.0,2,1125,365,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,2,0.65
19737,6.43e+17,within an hour,1.0,1.0,False,1,True,False,Benito JuÃ¡rez,19.39405,-99.17163,Private room,2,1.0,1.0,1.0,True,False,True,False,True,False,True,False,610.0,1,365,330,18,18,4.78,4.89,4.78,4.89,4.83,5.0,4.89,True,1,5.4
19738,6.44e+17,within an hour,1.0,1.0,False,1,True,True,Iztacalco,19.4019,-99.12439,Private room,1,1.0,1.0,1.0,True,False,True,False,True,False,False,False,400.0,1,15,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
19746,6.43e+17,within a day,1.0,0.0,False,1,True,True,CuauhtÃ©moc,19.404,-99.16741,Private room,2,1.0,1.0,1.0,True,False,True,False,False,False,False,False,1000.0,1,365,292,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
19747,6.43e+17,within a few hours,1.0,0.92,False,2,True,True,CuauhtÃ©moc,19.41495,-99.16826,Private room,1,1.0,1.0,1.0,True,False,False,False,True,False,False,False,500.0,1,90,72,10,10,4.6,4.8,4.6,4.7,4.7,5.0,4.7,False,2,3.06
19748,6.44e+17,within a few hours,1.0,1.0,False,1,True,False,CuauhtÃ©moc,19.45518,-99.15033,Private room,1,1.0,1.0,1.0,True,False,False,False,False,False,False,False,250.0,1,365,356,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0.87
19758,6.44e+17,within an hour,1.0,1.0,False,6,True,True,CuauhtÃ©moc,19.4333469,-99.1658866,Private room,2,3.0,1.0,1.0,True,False,True,False,True,False,False,False,398.0,1,60,0,3,3,4.67,4.67,4.67,4.67,5.0,5.0,5.0,True,5,0.86
19765,6.45e+17,within an hour,1.0,1.0,False,3,True,True,CuauhtÃ©moc,19.42423,-99.16088,Private room,2,1.0,1.0,1.0,True,False,False,False,True,False,True,False,1167.0,2,365,355,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,3,0.67
19766,6.44e+17,unknown,0.0,0.0,False,1,True,False,Cuajimalpa de Morelos,19.38533,-99.25224,Private room,1,1.0,1.0,1.0,True,False,False,False,True,False,False,False,900.0,7,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
